arrival_HYBAS_ID,n_trajectories,first_date,last_date,display_name
6060156750,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060156750 | Pfaf 615880 | 9410 km²
6060156880,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060156880 | Pfaf 615890 | 17297 km²
6060159560,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060159560 | Pfaf 622889 | 20394 km²
6060159570,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060159570 | Pfaf 622888 | 4904 km²
6060160730,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060160730 | Pfaf 615980 | 11638 km²
6060160900,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060160900 | Pfaf 615990 | 24346 km²
6060163510,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060163510 | Pfaf 622846 | 20358 km²
6060163520,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060163520 | Pfaf 622847 | 8194 km²
6060167220,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060167220 | Pfaf 615947 | 16122 km²
6060167330,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060167330 | Pfaf 615946 | 6830 km²
6060169670,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060169670 | Pfaf 615949 | 2138 km²
6060169680,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060169680 | Pfaf 615948 | 2993 km²
6060171200,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060171200 | Pfaf 622887 | 3601 km²
6060171210,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060171210 | Pfaf 622886 | 42479 km²
6060180520,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060180520 | Pfaf 622868 | 5185 km²
6060180640,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060180640 | Pfaf 622869 | 3395 km²
6060187970,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060187970 | Pfaf 622899 | 25290 km²
6060189860,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060189860 | Pfaf 622845 | 14065 km²
6060189870,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060189870 | Pfaf 622844 | 21303 km²
6060190720,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060190720 | Pfaf 622884 | 8222 km²
6060190800,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060190800 | Pfaf 622885 | 7139 km²
6060199150,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060199150 | Pfaf 622842 | 21666 km²
6060199940,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060199940 | Pfaf 622882 | 35674 km²
6060210920,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060210920 | Pfaf 622949 | 21276 km²
6060211140,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060211140 | Pfaf 622948 | 33741 km²
6060238550,1095,2023-01-01,2023-12-31,HydroBASINS L6 6060238550 | Pfaf 622944 | 57429 km²
